,date,longitude,latitude,Sentiment,Unnamed: 0,Unnamed: 0.1,Recommendations,EditorPick,userID,Comment_b
172,2015-07-15-01,-119.7462,36.17,0,18968.0,22651.0,23.0,0.0,33434033.0,1.0
173,2015-07-15-01,-119.7462,36.17,0,18969.0,22676.0,12.0,0.0,67111301.0,1.0
174,2015-07-15-01,-119.7462,36.17,0,18963.0,22589.0,4.0,0.0,36743956.0,1.0
175,2015-07-15-01,-119.7462,36.17,0,18969.25,22715.25,7.0,0.0,44410870.75,1.0
176,2015-07-15-01,-119.7462,36.17,1,18962.0,22588.0,4.0,0.0,56613009.0,1.0
177,2015-07-15-01,-119.7462,36.17,1,18974.0,22770.0,14.0,0.0,60211101.0,1.0
178,2015-07-15-01,-119.7462,36.17,1,18961.0,22584.0,8.0,0.0,60709460.0,1.0
179,2015-07-15-01,-119.7462,36.17,1,18965.0,22613.0,24.0,0.0,61305926.0,1.0
180,2015-07-15-01,-119.7462,36.17,1,18967.0,22647.0,10.0,0.0,42502133.0,1.0
181,2015-07-15-01,-111.8535,40.1135,1,24706.0,22586.0,13.0,0.0,71553336.0,1.0
182,2015-07-15-01,-111.3877,33.7712,0,13393.0,22667.0,18.0,0.0,69253569.0,1.0
183,2015-07-15-01,-111.3877,33.7712,1,13394.0,22764.0,32.0,0.0,72508650.0,1.0
184,2015-07-15-01,-110.3261,46.9048,1,23687.0,22703.0,8.0,0.0,58189557.0,1.0
185,2015-07-15-01,-106.2371,34.8375,0,22478.0,22686.0,8.0,0.0,7531892.0,1.0
186,2015-07-15-01,-106.2371,34.8375,0,22480.0,22827.0,24.0,0.0,41260666.0,1.0
187,2015-07-15-01,-106.2371,34.8375,1,22479.0,22800.0,7.0,0.0,53121558.0,1.0
188,2015-07-15-01,-105.3272,39.0646,0,23596.0,22829.0,18.0,0.0,71829257.0,1.0
189,2015-07-15-01,-105.3272,39.0646,1,23595.0,22697.0,11.0,0.0,432006.0,1.0
190,2015-07-15-01,-97.6475,31.106,0,17597.0,22655.0,23.0,0.0,69443130.0,1.0
191,2015-07-15-01,-97.6475,31.106,0,17596.0,22621.0,22.0,0.0,55766482.0,1.0
192,2015-07-15-01,-97.6475,31.106,1,17599.0,22811.0,7.0,0.0,4923047.0,1.0
193,2015-07-15-01,-97.6475,31.106,1,17598.0,22755.5,15.0,0.0,62818940.5,1.0
194,2015-07-15-01,-93.9196,45.7326,0,16853.0,22891.0,36.0,0.0,56958676.0,1.0
195,2015-07-15-01,-93.9196,45.7326,1,16852.0,22758.0,2.0,0.0,894473.0,1.0
196,2015-07-15-01,-93.9196,45.7326,1,16851.0,22699.0,2.0,0.0,54609914.0,1.0
197,2015-07-15-01,-93.214,42.0046,0,16953.0,22805.0,41.0,0.0,72508398.0,1.0
198,2015-07-15-01,-92.3809,34.9513,1,23709.0,22707.0,2.0,0.0,5403145.0,1.0
199,2015-07-15-01,-92.302,38.4623,1,23771.0,22880.0,11.0,0.0,33160082.0,1.0
200,2015-07-15-01,-91.8749,31.1801,1,24887.0,22579.0,18.0,0.0,72304590.0,1.0
201,2015-07-15-01,-89.0022,40.3363,1,19427.0,23675.0,1.0,0.0,46402288.0,1.0
202,2015-07-15-01,-89.0022,40.3363,1,19414.0,22797.0,48.0,0.0,37431783.0,1.0
203,2015-07-15-01,-89.0022,40.3363,1,19413.0,22732.0,24.0,0.0,67021840.0,1.0
204,2015-07-15-01,-84.5603,43.3504,0,23332.0,22626.0,16.0,0.0,65570634.0,1.0
205,2015-07-15-01,-83.6487,32.9866,0,22178.0,22643.0,29.0,0.0,53692996.0,1.0
206,2015-07-15-01,-83.6487,32.9866,1,22177.0,22612.0,11.0,0.0,34240393.0,1.0
207,2015-07-15-01,-83.6487,32.9866,1,22179.0,22700.0,15.0,0.0,68031457.0,1.0
208,2015-07-15-01,-82.7755,40.3736,0,24362.0,22711.5,5.0,0.0,31904754.0,1.0
209,2015-07-15-01,-82.7755,40.3736,0,24358.0,22565.0,13.0,0.0,54467168.0,1.0
210,2015-07-15-01,-81.717,27.8333,1,577.0,23685.0,4.0,0.0,42160349.0,1.0
211,2015-07-15-01,-81.717,27.8333,1,544.0,22711.0,12.0,0.0,68507353.0,1.0
212,2015-07-15-01,-80.9066,33.8191,0,22320.0,22746.0,1.0,0.0,29883919.0,1.0
213,2015-07-15-01,-80.9066,33.8191,1,22321.0,22873.0,5.0,0.0,29883919.0,1.0
214,2015-07-15-01,-79.8431,35.6411,1,22774.0,22898.0,300.0,0.0,8822225.0,1.0
215,2015-07-15-01,-78.2057,37.768,1,13183.0,22744.0,15.0,0.0,71641969.0,1.0
216,2015-07-15-01,-78.2057,37.768,1,13181.0,22594.0,2.0,0.0,10692293.0,1.0
217,2015-07-15-01,-78.2057,37.768,1,13182.0,22687.0,59.0,0.0,61976020.0,1.0
218,2015-07-15-01,-78.2057,37.768,1,13185.0,22825.0,109.0,1.0,67553881.0,1.0
219,2015-07-15-01,-77.264,40.5773,0,13696.0,22714.0,3.0,0.0,11002486.0,1.0
220,2015-07-15-01,-77.264,40.5773,1,13697.0,22740.0,19.0,0.0,69710414.0,1.0
221,2015-07-15-01,-77.0262,38.8964,0,24630.0,22848.0,17.0,0.0,829618.0,1.0
222,2015-07-15-01,-77.0262,38.8964,0,24631.0,22862.0,59.0,0.0,48235711.0,1.0
223,2015-07-15-01,-77.0262,38.8964,1,24627.0,22593.0,19.0,0.0,4617377.0,1.0
224,2015-07-15-01,-77.0262,38.8964,1,24628.0,22766.0,21.0,0.0,829618.0,1.0
225,2015-07-15-01,-77.0262,38.8964,1,24632.0,22879.0,107.0,1.0,35229888.0,1.0
226,2015-07-15-01,-77.0262,38.8964,1,24629.0,22840.0,45.0,0.0,829618.0,1.0
227,2015-07-15-01,-76.7902,39.0724,1,19874.0,22642.0,14.0,0.0,62130025.0,1.0
228,2015-07-15-01,-76.7902,39.0724,1,19898.0,24035.0,3.0,0.0,48327076.0,1.0
229,2015-07-15-01,-76.7902,39.0724,1,19875.5,22785.0,17.5,0.0,61000195.5,1.0
230,2015-07-15-01,-76.7902,39.0724,1,19877.0,22876.0,3.0,0.0,2838061.0,1.0
231,2015-07-15-01,-74.9384,42.1497,0,16547.0,23757.0,1.0,0.0,66161543.0,1.0
232,2015-07-15-01,-74.9384,42.1497,0,16562.0,23842.0,145.0,0.0,337474.0,1.0
233,2015-07-15-01,-74.9384,42.1497,0,16422.0,22595.0,3.0,0.0,12443097.0,1.0
234,2015-07-15-01,-74.9384,42.1497,0,16445.0,22834.0,4.0,0.0,45291767.0,1.0
235,2015-07-15-01,-74.9384,42.1497,0,16423.0,22629.0,6.0,0.0,67603102.0,1.0
236,2015-07-15-01,-74.9384,42.1497,0,16443.0,22817.5,36.75,0.0,54726129.0,1.0
237,2015-07-15-01,-74.9384,42.1497,0,16454.0,22894.0,73.0,0.0,30844621.0,1.0
238,2015-07-15-01,-74.9384,42.1497,0,16430.0,22693.0,34.0,0.0,13201855.0,1.0
239,2015-07-15-01,-74.9384,42.1497,1,16431.0,22713.0,14.0,0.0,42127981.0,1.0
240,2015-07-15-01,-74.9384,42.1497,1,16424.0,22630.0,30.0,0.0,13201855.0,1.0
241,2015-07-15-01,-74.9384,42.1497,1,16437.0,22743.0,181.0,0.5,56804092.0,1.0
242,2015-07-15-01,-74.9384,42.1497,1,16433.5,22709.0,6.0,0.0,55686671.0,1.0
243,2015-07-15-01,-74.9384,42.1497,1,16429.0,22683.0,20.0,0.0,13201855.0,1.0
244,2015-07-15-01,-74.9384,42.1497,1,16588.0,24027.0,1.0,0.0,65021610.0,1.0
245,2015-07-15-01,-74.9384,42.1497,1,16423.5,22621.5,4.0,0.0,40407238.5,1.0
246,2015-07-15-01,-74.9384,42.1497,1,16439.0,22799.0,11.0,0.0,19888233.0,1.0
247,2015-07-15-01,-74.9384,42.1497,1,16442.5,22816.5,23.0,0.0,6324972.5,1.0
248,2015-07-15-01,-74.9384,42.1497,1,16442.5,22803.5,7.0,0.0,32715571.5,1.0
249,2015-07-15-01,-74.9384,42.1497,1,16429.0,22688.3333333,28.6666666667,0.0,28794995.6667,1.0
250,2015-07-15-01,-74.9384,42.1497,1,16455.0,22896.0,150.0,0.0,65483935.0,1.0
251,2015-07-15-01,-74.9384,42.1497,1,16419.0,22575.0,11.0,0.0,26671491.0,1.0
252,2015-07-15-01,-74.5089,40.314,0,20682.0,22814.0,40.0,0.0,72501584.0,1.0
253,2015-07-15-01,-74.5089,40.314,1,20683.0,22824.0,15.0,0.0,48338872.0,1.0
254,2015-07-15-01,-74.5089,40.314,1,20679.0,22745.5,14.0,0.0,62815698.0,1.0
255,2015-07-15-01,-72.7622,41.5834,1,14018.0,22861.0,5.0,0.0,47672922.0,1.0
256,2015-07-15-01,-71.5653,43.4108,0,22010.0,22778.0,33.0,0.0,72508475.0,1.0
257,2015-07-15-01,-71.5653,43.4108,1,22008.0,22681.0,38.0,0.0,31275444.0,1.0
258,2015-07-15-01,-71.5314,42.2373,0,21786.0,22844.0,8.0,0.0,1611758.0,1.0
259,2015-07-15-01,-71.5314,42.2373,0,21789.0,22881.0,257.0,0.0,69313662.0,1.0
260,2015-07-15-01,-71.5314,42.2373,1,21791.0,22899.0,263.0,0.0,64371585.0,1.0
261,2015-07-15-01,-71.5314,42.2373,1,21790.0,22888.0,184.0,0.0,9468747.0,1.0
262,2015-07-15-01,-71.5314,42.2373,1,21787.0,22857.0,8.0,0.0,496501.0,1.0
263,2015-07-15-01,-71.5314,42.2373,1,21788.0,22863.0,64.0,1.0,65600922.0,1.0
264,2015-07-15-01,-71.5314,42.2373,1,21785.0,22731.0,36.0,1.0,2073520.0,1.0
